participant_id,executionOrder,originalTrialNumber,loaderType,simulatedLoadingTime,simulatedLoadingTime_sec,rageClicks,mouseDistance,taskDuration,taskDuration_sec,totalLoadingTime,pureTaskDuration,perceivedLoadingTime,discomfort,reliability,perceivedLoadingTime_z,discomfort_z,reliability_z,rageClicks_z,mouseDistance_z,taskDuration_sec_z
participant_12,2.0,12.0,skeleton,5000,5.0,0,3442.8321470992382,17407.400000095367,17.407400000095368,10000.0,7407.400000095367,65.0,4.0,2.0,0.4904136560552685,0.8451542540142308,-1.4608349656062343,0.0,-1.2671742004492363,-0.12234125218694325
participant_12,3.0,5.0,none,2500,2.5,0,4498.416283067084,18023.29999995232,18.02329999995232,5000.0,13023.299999952316,74.0,5.0,1.0,1.0454327039262012,1.6903085080284617,-2.390457216446565,0.0,-0.6613820543981326,-0.014195217473030016
participant_12,4.0,19.0,spinner-color,1000,1.0,0,5676.6864487612165,14736.700000047684,14.736700000047684,2000.0,12736.700000047684,37.0,2.0,4.0,-1.2363122706543004,-0.8451542540142308,0.3984095360744273,0.0,0.014818722008364303,-0.5912901318470934
participant_12,5.0,3.0,none,1000,1.0,0,6198.855567235152,15263.700000047684,15.263700000047685,2000.0,13263.700000047684,41.0,2.0,4.0,-0.9896371382672191,-0.8451542540142308,0.3984095360744273,0.0,0.3144878247387735,-0.49875407029900226
participant_12,6.0,10.0,bar,2500,2.5,0,3735.066247706019,15471.099999904633,15.471099999904633,5000.0,10471.099999904633,31.0,2.0,4.0,-1.6063249692349222,-0.8451542540142308,0.3984095360744273,0.0,-1.0994631512550597,-0.46233665255358175
participant_12,7.0,16.0,skeleton-color,2500,2.5,0,4257.956160895238,14642.0,14.642,5000.0,9642.0,78.0,4.0,3.0,1.2921078363132825,0.8451542540142308,-0.5312127147659035,0.0,-0.7993803896200161,-0.6079185284941839
participant_12,8.0,18.0,spinner-color,5000,5.0,0,3733.379241122345,17375.39999985695,17.37539999985695,10000.0,7375.399999856949,82.0,4.0,3.0,1.5387829687003638,0.8451542540142308,-0.5312127147659035,0.0,-1.1004313122039633,-0.12796014021654717
participant_12,9.0,4.0,spinner,2500,2.5,0,5048.957721649255,15167.299999952316,15.167299999952316,5000.0,10167.299999952316,63.0,4.0,4.0,0.36707608986172785,0.8451542540142308,0.3984095360744273,0.0,-0.3454302811527313,-0.5156809703788143
participant_12,10.0,13.0,spinner-color,2500,2.5,0,4988.680830938333,15158.900000095367,15.158900000095368,5000.0,10158.900000095367,58.0,3.0,4.0,0.058732174377876284,0.0,0.3984095360744273,0.0,-0.38002275534483076,-0.5171559284504775
participant_12,11.0,2.0,bar,5000,5.0,0,3738.110673003234,20688.79999995232,20.68879999995232,10000.0,10688.799999952316,74.0,4.0,4.0,1.0454327039262012,0.8451542540142308,0.3984095360744273,0.0,-1.0977159774662066,0.45384059288073914
participant_12,12.0,21.0,skeleton,2500,2.5,0,3478.528804773968,12687.200000047684,12.687200000047683,5000.0,7687.200000047684,57.0,2.0,4.0,-0.002936608718894033,-0.8451542540142308,0.3984095360744273,0.0,-1.246688145266341,-0.9511623484368704
participant_12,13.0,14.0,skeleton-color,1000,1.0,0,3925.293412218117,11183.899999856949,11.18389999985695,2000.0,9183.899999856949,55.0,2.0,4.0,-0.12627417491243467,-0.8451542540142308,0.3984095360744273,0.0,-0.990293149262428,-1.2151271707194036
participant_12,14.0,15.0,spinner,5000,5.0,0,4572.321718239907,22717.39999985695,22.717399999856948,10000.0,12717.399999856949,59.0,2.0,4.0,0.1204009574746466,-0.8451542540142308,0.3984095360744273,0.0,-0.6189682565276908,0.8100429732367772
