participant_id,executionOrder,originalTrialNumber,loaderType,simulatedLoadingTime,simulatedLoadingTime_sec,rageClicks,mouseDistance,taskDuration,taskDuration_sec,totalLoadingTime,pureTaskDuration,perceivedLoadingTime,discomfort,reliability
participant_16,21.0,7.0,spinner,1000,1.0,0,5449.841537213902,22409.200000047684,22.409200000047683,3000.0,19409.200000047684,36.0,3.0,3.0
participant_7,1.0,2.0,bar,5000,5.0,0,3390.8353331858248,17368.100000023842,17.36810000002384,10000.0,7368.100000023842,87.0,4.0,2.0
participant_7,2.0,17.0,skeleton,1000,1.0,0,3397.9334458170883,14374.799999952316,14.374799999952316,2000.0,12374.799999952316,36.0,2.0,3.0
participant_7,3.0,8.0,bar-color,1000,1.0,0,6348.331772682557,16599.199999928474,16.599199999928473,2000.0,14599.199999928474,43.0,2.0,4.0
participant_7,4.0,12.0,skeleton,5000,5.0,0,5912.0590688102,27015.89999997616,27.015899999976163,10000.0,17015.899999976158,60.0,2.0,4.0
participant_7,5.0,6.0,skeleton-color,5000,5.0,0,5856.583410397549,35671.10000002384,35.67110000002384,15000.0,20671.10000002384,68.0,3.0,3.0
participant_7,6.0,19.0,spinner-color,1000,1.0,0,7823.463688400328,22199.700000047684,22.199700000047685,4000.0,18199.700000047684,11.0,1.0,4.0
participant_7,7.0,14.0,skeleton-color,1000,1.0,0,5527.64750400822,15407.600000023842,15.407600000023843,2000.0,13407.600000023842,6.0,1.0,4.0
participant_7,8.0,18.0,spinner-color,5000,5.0,0,3022.990330692222,20760.89999997616,20.76089999997616,10000.0,10760.899999976158,57.0,2.0,4.0
participant_7,9.0,15.0,spinner,5000,5.0,0,3524.7283761938465,21841.700000047684,21.841700000047684,10000.0,11841.700000047684,46.0,3.0,3.0
participant_7,10.0,5.0,none,2500,2.5,0,5752.656166873639,16176.300000071526,16.176300000071524,5000.0,11176.300000071526,37.0,5.0,2.0
participant_7,11.0,4.0,spinner,2500,2.5,0,4542.829565851396,19888.200000047684,19.888200000047682,5000.0,14888.200000047684,53.0,2.0,3.0
participant_7,12.0,3.0,none,1000,1.0,0,7280.626161641744,16143.5,16.1435,2000.0,14143.5,20.0,4.0,2.0
participant_7,13.0,21.0,skeleton,2500,2.5,0,4268.371608501902,13800.0,13.8,5000.0,8800.0,51.0,3.0,3.0
